instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00004-00000001.soc,soc,3,664,0.5783132529040484,2,0.005820900027174503,"[[1, 2], [3]]"
00004-00000002.soc,soc,3,1591,0.6643620364034737,1,0.005980500020086765,"[[1, 2, 3]]"
00004-00000003.soc,soc,3,533,1.0018761727260426,3,0.003949099977035075,"[[1], [2], [3]]"
00004-00000004.soc,soc,3,1143,0.8967629046791884,1,0.005862899997737259,"[[1, 2, 3]]"
00004-00000005.soc,soc,3,448,1.1071428572093802,2,0.004642000014428049,"[[1, 3], [2]]"
00004-00000006.soc,soc,3,940,0.9808510638659502,1,0.00573819997953251,"[[1, 2, 3]]"
00004-00000007.soc,soc,3,1860,1.0483870967121054,2,0.005660500028170645,"[[1, 2], [3]]"
00004-00000008.soc,soc,3,1045,0.6650717703223396,1,0.004052500007674098,"[[1, 2, 3]]"
00004-00000009.soc,soc,3,595,0.7478991596241471,2,0.005393800034653395,"[[1, 3], [2]]"
00004-00000010.soc,soc,3,1394,1.1865136298567118,2,0.0051803000387735665,"[[1], [2, 3]]"
00004-00000011.soc,soc,3,697,0.8421807747372325,1,0.004751000029500574,"[[1, 2, 3]]"
00004-00000012.soc,soc,3,529,0.9243856332210263,1,0.0066362000070512295,"[[1, 2, 3]]"
00004-00000013.soc,soc,3,617,1.064829821734028,2,0.004035699996165931,"[[1, 2], [3]]"
00004-00000014.soc,soc,3,379,0.9894459103163465,2,0.005540099984500557,"[[1, 3], [2]]"
00004-00000015.soc,soc,3,1022,0.5440313111489035,2,0.004011599987279624,"[[1, 2], [3]]"
00004-00000016.soc,soc,3,3705,0.7085020242826059,2,0.004859500040765852,"[[1, 3], [2]]"
00004-00000017.soc,soc,3,1215,1.0197530864446653,2,0.005116600019391626,"[[1, 3], [2]]"
00004-00000018.soc,soc,3,842,1.1353919241105088,2,0.0047447000397369266,"[[1, 2], [3]]"
00004-00000019.soc,soc,3,2769,1.0613940050484092,2,0.004094400035683066,"[[1, 3], [2]]"
00004-00000020.soc,soc,3,808,1.349009900987794,2,0.0058883000165224075,"[[1, 3], [2]]"
00004-00000021.soc,soc,3,716,0.9832402234786455,1,0.005166199989616871,"[[1, 2, 3]]"
00004-00000022.soc,soc,3,360,1.0888888889794344,1,0.0046820000279694796,"[[1, 2, 3]]"
00004-00000023.soc,soc,3,542,1.0959409594070166,3,0.00448319996939972,"[[1], [2], [3]]"
00004-00000024.soc,soc,3,2641,1.2067398712608859,1,0.00533830001950264,"[[1, 2, 3]]"
00004-00000025.soc,soc,3,407,1.2604422604076504,2,0.005060299998149276,"[[1, 3], [2]]"
00004-00000026.soc,soc,3,737,1.027137042050411,1,0.004720100027043372,"[[1, 2, 3]]"
00004-00000027.soc,soc,3,727,1.07977991741909,1,0.004715199989732355,"[[1, 2, 3]]"
00004-00000028.soc,soc,3,423,1.2742316784371843,1,0.005843700026161969,"[[1, 2, 3]]"
00004-00000029.soc,soc,3,375,0.4879999999348077,1,0.004501199990045279,"[[1, 2, 3]]"
00004-00000030.soc,soc,3,352,0.9829545454227957,2,0.005159799999091774,"[[1, 2], [3]]"
00004-00000031.soc,soc,3,474,1.0000000000918552,2,0.005080000031739473,"[[1, 2], [3]]"
00004-00000032.soc,soc,3,351,0.24216524224152558,1,0.00521069997921586,"[[1, 2, 3]]"
00004-00000033.soc,soc,3,416,0.2740384615474165,1,0.004910700023174286,"[[1, 2, 3]]"
00004-00000034.soc,soc,3,1083,1.108956601986892,2,0.006550599995534867,"[[1, 3], [2]]"
00004-00000035.soc,soc,3,732,0.9071038251391564,2,0.005749700008891523,"[[1], [2, 3]]"
00004-00000036.soc,soc,3,467,1.0128479657778957,1,0.004924700013361871,"[[1, 2, 3]]"
00004-00000037.soc,soc,3,501,0.3772455089820359,1,0.0057900999672710896,"[[1, 2, 3]]"
00004-00000038.soc,soc,3,833,1.1056422568861306,2,0.004449700005352497,"[[1], [2, 3]]"
00004-00000039.soc,soc,3,994,1.0603621730192563,1,0.009143400005996227,"[[1, 2, 3]]"
00004-00000040.soc,soc,3,2310,0.94632034631319,1,0.004083399951923639,"[[1, 2, 3]]"
00004-00000041.soc,soc,3,806,1.0694789081510327,1,0.00610280002001673,"[[1, 2, 3]]"
00004-00000042.soc,soc,3,369,0.5555555555590259,1,0.003934900043532252,"[[1, 2, 3]]"
00004-00000043.soc,soc,3,10347,0.5641248671351149,2,0.0047351999673992395,"[[1, 3], [2]]"
00004-00000044.soc,soc,3,417,1.0287769783809737,1,0.005328200000803918,"[[1, 2, 3]]"
00004-00000045.soc,soc,3,578,0.9480968858131489,1,0.0050877999747172,"[[1, 2, 3]]"
00004-00000046.soc,soc,3,427,1.1779859484616662,2,0.004615799989551306,"[[1, 2], [3]]"
00004-00000047.soc,soc,3,1034,0.9226305609604081,1,0.006039600004442036,"[[1, 2, 3]]"
00004-00000048.soc,soc,3,496,1.129032258064516,1,0.004482699965592474,"[[1, 2, 3]]"
00004-00000049.soc,soc,3,1377,0.8707334785876064,2,0.004515699984040111,"[[1], [2, 3]]"
00004-00000050.soc,soc,3,391,1.3171355499015989,2,0.005484100023750216,"[[1, 2], [3]]"
00004-00000051.soc,soc,3,453,0.9028697570751958,2,0.0046091999975033104,"[[1, 3], [2]]"
00004-00000052.soc,soc,3,2840,0.847183098592861,2,0.005224999971687794,"[[1], [2, 3]]"
00004-00000053.soc,soc,3,871,0.8117106774586373,2,0.004229900019709021,"[[1], [2, 3]]"
00004-00000054.soc,soc,3,815,0.8797546012089956,1,0.004639799997676164,"[[1, 2, 3]]"
00004-00000055.soc,soc,3,622,0.8810289388618333,2,0.004975599993485957,"[[1, 3], [2]]"
00004-00000056.soc,soc,3,14081,1.0012783182742386,1,0.00503010000102222,"[[1, 2, 3]]"
00004-00000057.soc,soc,3,998,0.6653306613009486,1,0.003921600000467151,"[[1, 2, 3]]"
00004-00000058.soc,soc,3,367,1.0217983651527505,1,0.004677299992181361,"[[1, 2, 3]]"
00004-00000059.soc,soc,3,2704,0.4837278106302221,1,0.004808500001672655,"[[1, 2, 3]]"
00004-00000060.soc,soc,3,440,0.39545454544184566,1,0.005137600004673004,"[[1, 2, 3]]"
00004-00000061.soc,soc,3,405,0.7629629629526147,1,0.004032700031530112,"[[1, 2, 3]]"
00004-00000062.soc,soc,3,1117,1.1074306177763908,1,0.005325999984052032,"[[1, 2, 3]]"
00004-00000063.soc,soc,3,490,0.5877551021025877,2,0.005532600043807179,"[[1], [2, 3]]"
00004-00000064.soc,soc,3,547,0.5283363802723291,1,0.00447889999486506,"[[1, 2, 3]]"
00004-00000065.soc,soc,3,368,1.10869565209799,2,0.009495000005699694,"[[1], [2, 3]]"
00004-00000066.soc,soc,3,382,0.48691099478085453,1,0.006169600004795939,"[[1, 2, 3]]"
00004-00000067.soc,soc,3,417,0.7266187049432857,2,0.004747200000565499,"[[1, 3], [2]]"
00004-00000068.soc,soc,3,1021,1.0724779627313037,2,0.00526999996509403,"[[1, 2], [3]]"
00004-00000069.soc,soc,3,445,0.7662921347391132,2,0.004642000014428049,"[[1], [2, 3]]"
00004-00000070.soc,soc,3,563,1.113676731793961,1,0.005199100007303059,"[[1, 2, 3]]"
00004-00000071.soc,soc,3,1538,1.2444733419973022,2,0.00584350002463907,"[[1, 3], [2]]"
00004-00000072.soc,soc,3,1008,0.7857142857142858,1,0.0071767999907024205,"[[1, 2, 3]]"
00004-00000073.soc,soc,3,397,0.45088161209068023,1,0.004985199950169772,"[[1, 2, 3]]"
00004-00000074.soc,soc,3,963,0.8857736241168883,2,0.004992300004232675,"[[1, 3], [2]]"
00004-00000075.soc,soc,3,779,1.0038510910235345,3,0.006477200018707663,"[[1], [2], [3]]"
00004-00000076.soc,soc,3,751,0.8908122503387801,2,0.004622299980837852,"[[1, 3], [2]]"
00004-00000077.soc,soc,3,363,0.4325068870533041,1,0.00476029998390004,"[[1, 2, 3]]"
00004-00000078.soc,soc,3,955,0.3340314135685589,1,0.004542200011201203,"[[1, 2, 3]]"
00004-00000079.soc,soc,3,443,0.6162528216777869,2,0.004365700006019324,"[[1], [2, 3]]"
00004-00000080.soc,soc,3,996,0.9738955823503561,2,0.005336300004273653,"[[1], [2, 3]]"
00004-00000081.soc,soc,3,1688,0.7819905213639798,1,0.005376499961130321,"[[1, 2, 3]]"
00004-00000082.soc,soc,3,751,1.0878828229045014,1,0.004980999976396561,"[[1, 2, 3]]"
00004-00000083.soc,soc,3,460,0.6652173912739785,1,0.005558500008191913,"[[1, 2, 3]]"
00004-00000084.soc,soc,3,538,1.0631970260746701,1,0.005170200020074844,"[[1, 2, 3]]"
00004-00000085.soc,soc,3,860,0.77674418604218,2,0.00470849999692291,"[[1], [2, 3]]"
00004-00000086.soc,soc,3,426,0.9436619719304584,2,0.003958300047088414,"[[1, 3], [2]]"
00004-00000087.soc,soc,3,554,0.6967509024833674,1,0.0047147999866865575,"[[1, 2, 3]]"
00004-00000088.soc,soc,3,982,0.959266802350101,2,0.006394899974111468,"[[1, 3], [2]]"
00004-00000089.soc,soc,3,1063,0.7629350892989613,2,0.004524099989794195,"[[1, 2], [3]]"
00004-00000090.soc,soc,3,506,0.5335968380008012,1,0.004595300008077174,"[[1, 2, 3]]"
00004-00000091.soc,soc,3,2708,0.2740029541978837,1,0.004690899979323149,"[[1, 2, 3]]"
00004-00000092.soc,soc,3,1631,0.7854077253878403,1,0.00544340000487864,"[[1, 2, 3]]"
00004-00000093.soc,soc,3,2415,0.8194616976746513,1,0.005185400019399822,"[[1, 2, 3]]"
00004-00000094.soc,soc,3,713,1.1290322580563523,2,0.004470099986065179,"[[1, 2], [3]]"
00004-00000095.soc,soc,3,1074,0.8398510242085659,1,0.0045918000396341085,"[[1, 2, 3]]"
00004-00000096.soc,soc,3,371,0.6172506737932584,1,0.006154800008516759,"[[1, 2, 3]]"
