instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00006-00000001.toc,toc,30,9,33.22222222222223,13,3.1061645000008866,"[[1, 12, 13, 15], [2, 21], [3, 10], [4, 14, 17, 19, 23], [5, 22, 24, 26, 28], [6], [7, 27], [8, 25], [9, 29], [11], [16, 20], [18], [30]]"
00006-00000002.toc,toc,24,9,18.888888888888886,10,0.4982299999683164,"[[1, 2, 4, 10, 11], [3, 5], [6, 9], [7, 8, 14, 17], [12, 18], [13, 19], [15, 22, 23, 24], [16], [20], [21]]"
00006-00000003.soc,soc,14,9,5.6666666666667,11,0.08743880002293736,"[[1], [2, 13], [3, 12], [4, 11], [5], [6], [7], [8], [9], [10], [14]]"
00006-00000004.soc,soc,14,9,2.6666666666667,14,0.07577560003846884,"[[1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14]]"
00006-00000005.toc,toc,23,7,10.428571428571416,12,0.40505990001838654,"[[1, 8], [2, 12], [3, 19, 20], [4, 7, 16], [5, 22], [6], [9], [10], [11], [13, 17], [14, 15, 21], [18, 23]]"
00006-00000006.toc,toc,23,7,12.285714285714278,13,0.4221579000004567,"[[1, 11, 14], [2], [3], [4, 10], [5, 6], [7, 12], [8], [9], [13, 15, 20], [16, 19, 22], [17], [18, 23], [21]]"
00006-00000007.soc,soc,23,9,12.111111111111114,11,0.40138420002767816,"[[1, 10], [2, 3, 7, 9], [4, 8, 11], [5, 12], [6], [13, 15, 19, 22], [14], [16], [17, 18], [20], [21, 23]]"
00006-00000008.soc,soc,23,9,11.333333333333343,17,0.40029419999336824,"[[1], [2], [3], [4], [5, 6, 7], [8], [9, 15, 18], [10], [11], [12, 13], [14], [16], [17], [19, 20], [21], [22], [23]]"
00006-00000009.toc,toc,30,9,33.11111111111121,12,3.2813528000260703,"[[1, 8, 11, 27], [2, 4, 5, 6, 9, 24], [3], [7, 23, 28], [10], [12, 25, 26], [13], [14, 17, 20, 21, 22], [15, 18], [16], [19, 29], [30]]"
00006-00000010.toc,toc,24,9,19.22222222222257,10,0.5261182999820448,"[[1, 2, 6], [3, 7, 9, 12], [4, 5, 8], [10], [11], [13, 14, 16, 18, 22, 24], [15, 17], [19], [20, 21], [23]]"
00006-00000011.soc,soc,20,9,14.222222222222513,12,0.27640639996388927,"[[1], [2, 10, 11, 13], [3], [4, 18], [5, 15, 20], [6, 19], [7], [8], [9, 16], [12], [14], [17]]"
00006-00000012.soc,soc,20,9,5.666666666666657,14,0.20032329997047782,"[[1], [2], [3], [4], [5], [6, 8], [7, 14], [9, 12], [10], [11], [13, 15, 16], [17, 18], [19], [20]]"
