instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00068-00000001.soi,soi,10,23,15.633208962109215,4,1.0677171000279486,"[[6, 9], [1], [2, 4, 5, 7, 8, 10], [3]]"
00068-00000002.soi,soi,14,15,34.13672438672439,4,4.339730400010012,"[[13], [11], [1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14], [4]]"
00068-00000003.soi,soi,9,15,12.285714285714285,4,0.057873699930496514,"[[1, 3, 8, 9], [7], [5], [2, 4, 6]]"
00068-00000004.soi,soi,17,15,29.77777777777778,3,2.4777045000810176,"[[1], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [2]]"
00068-00000005.soi,soi,5,15,3.935803085803086,1,0.017222900060005486,"[[1, 2, 3, 4, 5]]"
00068-00000006.soi,soi,9,15,11.25,3,0.04428030003327876,"[[4], [1, 2, 3, 5, 7, 8, 9], [6]]"
00068-00000007.soi,soi,13,15,25.734343434343437,3,0.14029110001865774,"[[1, 13], [3, 9, 10], [2, 4, 5, 6, 7, 8, 11, 12]]"
00068-00000008.soi,soi,7,15,6.383333333333333,3,0.016883600037544966,"[[1, 3, 6, 7], [2], [4, 5]]"
00068-00000009.soi,soi,10,21,6.986466165413539,7,0.05485940002836287,"[[4], [3], [9], [1], [2], [5, 6, 10], [7, 8]]"
00068-00000010.soi,soi,7,15,4.966666666666667,2,0.020414100028574467,"[[2, 3, 7], [1, 4, 5, 6]]"
00068-00000011.soi,soi,5,15,2.6812742812742814,1,0.0134723000228405,"[[1, 2, 3, 4, 5]]"
00068-00000012.soi,soi,11,15,19.339316239316236,4,0.10256619995925575,"[[1, 2, 3, 6, 7, 10], [8], [4, 5, 9], [11]]"
00068-00000013.soi,soi,7,15,9.116522366522366,3,0.05082650005351752,"[[2, 5, 7], [3, 4, 6], [1]]"
00068-00000014.soi,soi,6,15,5.175824175824175,3,0.01463380001951009,"[[1, 5], [3], [2, 4, 6]]"
00068-00000015.soi,soi,7,15,5.219047619047619,3,0.019098700024187565,"[[3], [4], [1, 2, 5, 6, 7]]"
00068-00000016.soi,soi,10,21,12.06984126984127,3,0.05232759995851666,"[[3, 6, 7], [1, 2, 8, 9, 10], [4, 5]]"
