instancia,tipo,n,m,obj_value,n_buckets,tiempo,buckets
00071-00000001.toc,toc,12,215,11.50232558139535,1,0.05154650000622496,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000002.toc,toc,12,340,12.155882352941177,1,0.04724250000435859,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000003.toc,toc,12,582,13.66151202749141,1,0.07009579997975379,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000004.toc,toc,12,568,12.96654929577465,1,0.04673990001901984,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000005.toc,toc,12,487,12.659137577002054,1,0.04684490000363439,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000006.toc,toc,12,501,13.42115768463074,1,0.06654919998254627,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000007.toc,toc,12,227,15.497797356828196,1,0.06656310003018007,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000008.toc,toc,12,337,16.875370919881306,1,0.09065289999125525,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000009.toc,toc,12,591,17.996615905245342,2,0.18171789997722954,"[[1, 2, 3, 5, 6, 7, 8, 9, 10, 11], [4, 12]]"
00071-00000010.toc,toc,12,563,17.349911190053287,1,0.22331880003912374,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000011.toc,toc,12,496,18.046370967741936,1,0.18384089996106923,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000012.toc,toc,12,526,17.69961977186312,1,0.08394360000966117,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]"
00071-00000013.toc,toc,10,902,9.87028824833703,1,0.03815149998990819,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000014.toc,toc,10,376,9.46808510638298,1,0.03474520001327619,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000015.toc,toc,10,961,10.528616024973987,1,0.044130499998573214,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000016.toc,toc,10,908,11.705947136563877,1,0.044719800003804266,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000017.toc,toc,10,373,10.991957104557642,1,0.044795399997383356,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]"
00071-00000018.toc,toc,10,955,15.503664921465969,2,0.1146559999906458,"[[1, 2, 3, 4, 5, 6, 7, 8, 9], [10]]"
00071-00000019.toc,toc,11,1291,12.585592563903951,1,0.05852640001103282,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000020.toc,toc,11,1047,13.505253104106973,1,0.060724099981598556,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000021.toc,toc,11,667,11.937031484257872,1,0.0371263999841176,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000022.toc,toc,11,1024,12.18359375,1,0.048191400012001395,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000023.toc,toc,11,1268,13.34858044164038,1,0.060554100025910884,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000024.toc,toc,11,245,13.024489795918369,1,0.03336130001116544,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000025.toc,toc,11,279,10.379928315412187,1,0.036497099965345114,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000026.toc,toc,11,307,12.866449511400653,1,0.03214670001761988,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000027.toc,toc,11,362,15.803867403314921,2,0.22151210001902655,"[[1, 2, 5, 6, 7, 8, 10, 11], [3, 4, 9]]"
00071-00000028.toc,toc,11,325,15.372307692307698,2,0.11864990001777187,"[[1, 2, 5, 6, 7, 8, 10, 11], [3, 4, 9]]"
00071-00000029.toc,toc,11,244,14.754098360655739,1,0.05677840003045276,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000030.toc,toc,11,243,15.041152263374485,1,0.05212439998285845,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000031.toc,toc,11,282,13.840425531914894,1,0.055457099981140345,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000032.toc,toc,11,229,16.62008733624454,1,0.05612360005034134,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000033.toi,toi,11,1302,15.380640297667247,2,0.08993770001688972,"[[1, 2, 5, 6, 7, 8, 10, 11], [3, 4, 9]]"
