instancia,tipo,n,m,num_clientes,cliente_id,m_cliente,metodo_federado,tecnica,b,seed,kendall_tau_global,obj_local,obj_federado_en_cliente,perdida_local,obj_local_norm,obj_federado_en_cliente_norm,perdida_local_norm,distancia_entrada_local,distancia_entrada_global,distancia_salida_global,sensibilidad_global,n_buckets_local,n_buckets_federado,buckets_local,buckets_federado,tiempo
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.05,0,0.9839357429718876,29.19999999999999,32.2,3.000000000000014,0.05289855072463766,0.05833333333333334,0.005434782608695678,0.007961718826645592,0.004573675956242624,0.014492753623188406,3.168732057505561,8,9,"[[23], [21], [20, 22, 24], [17, 18], [7, 13, 14, 15, 19], [3, 5, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 5, 6, 12], [4, 8, 9, 10, 16], [1, 2, 11]]",3.15634850000788
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.05,0,0.9839357429718876,19.5,23.0,3.5,0.035326086956521736,0.041666666666666664,0.006340579710144928,0.0015224949942088865,0.004573675956242624,0.014492753623188406,3.168732057505561,9,9,"[[23], [21], [20, 22, 24], [18, 19], [13, 14, 17], [7, 12, 15], [3, 4, 5, 6], [8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 5, 6, 12], [4, 8, 9, 10, 16], [1, 2, 11]]",3.15634850000788
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.1,0,0.9839357429718876,29.19999999999999,32.2,3.000000000000014,0.05289855072463766,0.05833333333333334,0.005434782608695678,0.015492805954655662,0.00890811207990996,0.014492753623188406,1.6269163985793602,8,9,"[[23], [21], [20, 22, 24], [17, 18], [7, 13, 14, 15, 19], [3, 5, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 5, 6, 12], [4, 8, 9, 10, 16], [1, 2, 11]]",2.709629400007543
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.1,0,0.9839357429718876,19.5,23.0,3.5,0.035326086956521736,0.041666666666666664,0.006340579710144928,0.0030449899884177727,0.00890811207990996,0.014492753623188406,1.6269163985793602,9,9,"[[23], [21], [20, 22, 24], [18, 19], [13, 14, 17], [7, 12, 15], [3, 4, 5, 6], [8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 5, 6, 12], [4, 8, 9, 10, 16], [1, 2, 11]]",2.709629400007543
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.5,0,0.9707571673243761,29.19999999999999,41.2,12.000000000000014,0.05289855072463766,0.0746376811594203,0.021739130434782636,0.04378653157940091,0.025010814674753766,0.02717391304347826,1.0864865218048236,8,13,"[[23], [21], [20, 22, 24], [17, 18], [7, 13, 14, 15, 19], [3, 5, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [13, 15], [3, 7, 12], [4], [5, 6], [8, 9, 10, 16], [11], [1], [2]]",1.0840301999996882
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.5,0,0.9707571673243761,19.5,24.5,5.0,0.035326086956521736,0.044384057971014496,0.009057971014492754,0.011508065248442612,0.025010814674753766,0.02717391304347826,1.0864865218048236,9,13,"[[23], [21], [20, 22, 24], [18, 19], [13, 14, 17], [7, 12, 15], [3, 4, 5, 6], [8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [13, 15], [3, 7, 12], [4], [5, 6], [8, 9, 10, 16], [11], [1], [2]]",1.0840301999996882
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,1.0,0,0.9624687054840508,29.19999999999999,40.4,11.20000000000001,0.05289855072463766,0.07318840579710145,0.020289855072463787,0.054337373764256756,0.031032246926660487,0.034420289855072464,1.1091781377100745,8,12,"[[23], [21], [20, 22, 24], [17, 18], [7, 13, 14, 15, 19], [3, 5, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [14, 17, 18, 19], [13, 15], [3, 7, 12], [4], [5, 6], [8, 9, 10, 16], [11], [1], [2]]",0.9678334000054747
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,1.0,0,0.9624687054840508,19.5,27.5,8.0,0.035326086956521736,0.049818840579710144,0.014492753623188406,0.016534376594071157,0.031032246926660487,0.034420289855072464,1.1091781377100745,9,12,"[[23], [21], [20, 22, 24], [18, 19], [13, 14, 17], [7, 12, 15], [3, 4, 5, 6], [8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20, 22, 24], [14, 17, 18, 19], [13, 15], [3, 7, 12], [4], [5, 6], [8, 9, 10, 16], [11], [1], [2]]",0.9678334000054747
00006-00000040.toc,toc,24,9,2,1,5,matrices,cerca_empate,0.05,1,1.0,21.799999999999926,27.2,5.400000000000073,0.03949275362318827,0.049275362318840575,0.009782608695652307,0.003219657004137665,0.0028712132066592085,0.0,0.0,10,9,"[[23], [21], [20, 22, 24], [18, 19], [17], [13, 14, 15], [7, 12], [3, 4, 6], [5, 8, 9, 10, 16], [1, 2, 11]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",1.1377073000039672
00006-00000040.toc,toc,24,9,2,2,4,matrices,cerca_empate,0.05,1,1.0,22.75,33.75,11.0,0.04121376811594203,0.06114130434782609,0.019927536231884056,0.004146669338515257,0.0028712132066592085,0.0,0.0,9,9,"[[23], [21], [20, 22, 24], [17, 18, 19], [14], [5, 7, 13, 15], [3, 6, 12], [4, 8, 9, 10], [1, 2, 11, 16]]","[[23], [21], [20, 22, 24], [18, 19], [14, 17], [7, 13, 15], [3, 4, 5, 6, 12], [8, 9, 10, 16], [1, 2, 11]]",1.1377073000039672
