instancia,tipo,n,m,num_clientes,cliente_id,m_cliente,metodo_federado,tecnica,b,seed,kendall_tau_global,obj_local,obj_federado_en_cliente,perdida_local,obj_local_norm,obj_federado_en_cliente_norm,perdida_local_norm,distancia_entrada_local,distancia_entrada_global,distancia_salida_global,sensibilidad_global,n_buckets_local,n_buckets_federado,buckets_local,buckets_federado,tiempo
00035-00000006.soc,soc,15,42,2,1,21,matrices,cerca_empate,0.5,0,0.0,25.952380952380956,25.952380952380953,0.0,0.12358276643990931,0.1235827664399093,0.0,0.14910996971164675,0.10199540059834718,0.12380952380952381,1.213873597076005,1,1,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",0.9081453000108013
00035-00000006.soc,soc,15,42,2,2,21,matrices,cerca_empate,0.5,0,0.0,33.38095238095237,48.333333333333336,14.952380952380963,0.1589569160997732,0.23015873015873017,0.07120181405895697,0.05654888001523874,0.10199540059834718,0.12380952380952381,1.213873597076005,3,1,"[[12, 14], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15], [1]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",0.9081453000108013
00035-00000006.soc,soc,15,42,2,1,21,matrices,cerca_empate,0.5,1,1.0,37.1904761904762,37.19047619047619,0.0,0.17709750566893426,0.17709750566893423,0.0,0.046288636160880824,0.08821713179777467,0.0,0.0,2,2,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]",0.6450441000051796
00035-00000006.soc,soc,15,42,2,2,21,matrices,cerca_empate,0.5,1,1.0,27.85714285714286,33.28571428571428,5.428571428571416,0.1326530612244898,0.15850340136054417,0.025850340136054365,0.14053096365303655,0.08821713179777467,0.0,0.0,1,2,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]",0.6450441000051796
00035-00000006.soc,soc,15,42,2,1,21,matrices,cerca_empate,0.5,2,1.0,30.61904761904762,30.61904761904762,0.0,0.1458049886621315,0.1458049886621315,0.0,0.06881553358918722,0.06290878708860227,0.0,0.0,2,2,"[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]","[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]",1.1361668999888934
00035-00000006.soc,soc,15,42,2,2,21,matrices,cerca_empate,0.5,2,1.0,33.95238095238095,36.904761904761905,2.952380952380956,0.16167800453514738,0.17573696145124718,0.01405895691609979,0.07012695084027754,0.06290878708860227,0.0,0.0,1,2,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[12, 14], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15]]",1.1361668999888934
00035-00000006.soc,soc,15,42,4,1,11,matrices,cerca_empate,0.5,0,0.681385143869247,32.81818181818181,34.81818181818181,2.0,0.15627705627705626,0.16580086580086578,0.009523809523809525,0.11610534775114102,0.08486703013487856,0.06666666666666667,0.785542590104942,2,2,"[[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14], [5, 7, 15]]","[[12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]]",0.9595315000042319
00035-00000006.soc,soc,15,42,4,2,11,matrices,cerca_empate,0.5,0,0.681385143869247,27.363636363636363,32.45454545454545,5.09090909090909,0.1303030303030303,0.15454545454545454,0.02424242424242424,0.14126380252931797,0.08486703013487856,0.06666666666666667,0.785542590104942,1,2,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]]",0.9595315000042319
00035-00000006.soc,soc,15,42,4,3,10,matrices,cerca_empate,0.5,0,0.681385143869247,30.799999999999997,45.6,14.800000000000004,0.14666666666666664,0.21714285714285714,0.0704761904761905,0.10983180011696833,0.08486703013487856,0.06666666666666667,0.785542590104942,4,2,"[[12, 14], [6, 11], [2, 3, 4, 5, 7, 8, 9, 10, 13, 15], [1]]","[[12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]]",0.9595315000042319
00035-00000006.soc,soc,15,42,4,4,10,matrices,cerca_empate,0.5,0,0.681385143869247,35.6,41.99999999999999,6.3999999999999915,0.16952380952380952,0.19999999999999996,0.030476190476190435,0.10832449542466145,0.08486703013487856,0.06666666666666667,0.785542590104942,3,2,"[[12, 14], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15], [1]]","[[12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]]",0.9595315000042319
00035-00000006.soc,soc,15,42,4,1,11,matrices,cerca_empate,0.5,1,0.681385143869247,34.45454545454547,46.81818181818182,12.363636363636353,0.16406926406926414,0.22294372294372294,0.05887445887445882,0.036941435449893055,0.07295291697216862,0.06666666666666667,0.9138314057010203,3,2,"[[12, 14], [4, 6, 11, 13], [1, 2, 3, 5, 7, 8, 9, 10, 15]]","[[12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]]",0.5974030999932438
00035-00000006.soc,soc,15,42,4,2,11,matrices,cerca_empate,0.5,1,0.681385143869247,34.63636363636364,41.72727272727273,7.090909090909086,0.16493506493506496,0.1987012987012987,0.03376623376623374,0.06642625024021445,0.07295291697216862,0.06666666666666667,0.9138314057010203,2,2,"[[6, 12, 14], [1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 15]]","[[12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]]",0.5974030999932438
00035-00000006.soc,soc,15,42,4,3,10,matrices,cerca_empate,0.5,1,0.681385143869247,32.4,32.8,0.3999999999999986,0.15428571428571428,0.15619047619047619,0.001904761904761898,0.18924926758154187,0.07295291697216862,0.06666666666666667,0.9138314057010203,1,2,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]]",0.5974030999932438
