instancia,tipo,n,m,num_clientes,cliente_id,m_cliente,metodo_federado,tecnica,b,seed,kendall_tau_global,obj_local,obj_federado_en_cliente,perdida_local,obj_local_norm,obj_federado_en_cliente_norm,perdida_local_norm,distancia_entrada_local,distancia_entrada_global,distancia_salida_global,sensibilidad_global,n_buckets_local,n_buckets_federado,buckets_local,buckets_federado,tiempo
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.05,0,0.9999999999999998,2.0,6.0,4.0,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.006741134432237824,0.003966762177960245,0.0,0.0,15,5,"[[14], [13], [7], [12], [8], [15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",11.299197499989532
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.05,0,0.9999999999999998,0.6666666666666661,6.666666666666666,6.0,0.020833333333333315,0.20833333333333331,0.1875,0.016060463959489242,0.003966762177960245,0.0,0.0,14,5,"[[12], [11, 15], [14], [13], [10], [7], [6], [5], [3], [2], [4], [9], [8], [1]]","[[7], [12], [8, 11, 15], [1, 2, 3, 5, 6, 9, 10, 13, 14], [4]]",11.299197499989532
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.1,0,0.8264714394326625,2.0,16.0,14.0,0.024390243902439025,0.1951219512195122,0.17073170731707318,0.013482268864475648,0.007933524355920485,0.1,12.604738513895636,15,4,"[[14], [13], [7], [12], [8], [15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",12.338025100005325
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.1,0,0.8264714394326625,0.6666666666666661,4.666666666666666,4.0,0.020833333333333315,0.14583333333333331,0.125,0.032120927918978484,0.007933524355920485,0.1,12.604738513895636,14,4,"[[12], [11, 15], [14], [13], [10], [7], [6], [5], [3], [2], [4], [9], [8], [1]]","[[7], [12], [11, 15], [1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14]]",12.338025100005325
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.5,0,0.7485339206095006,2.0,20.0,18.0,0.024390243902439025,0.24390243902439024,0.21951219512195122,0.06625907967998101,0.03791054694853991,0.12380952380952381,3.2658332251862228,15,5,"[[14], [13], [7], [12], [8], [15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [11], [15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",7.901944800003548
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.5,0,0.7485339206095006,0.6666666666666661,5.0,4.333333333333334,0.020833333333333315,0.15625,0.13541666666666669,0.1475086395647028,0.03791054694853991,0.12380952380952381,3.2658332251862228,14,5,"[[12], [11, 15], [14], [13], [10], [7], [6], [5], [3], [2], [4], [9], [8], [1]]","[[7], [11], [15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",7.901944800003548
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,1.0,0,0.7485339206095006,2.0,20.0,18.0,0.024390243902439025,0.24390243902439024,0.21951219512195122,0.1068955103429026,0.055158463147107865,0.12380952380952381,2.2446151822490643,15,5,"[[14], [13], [7], [12], [8], [15], [3], [11], [9], [6], [5], [2], [1], [10], [4]]","[[7], [11], [15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",21.079498100007186
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,1.0,0,0.7485339206095006,0.6666666666666661,5.0,4.333333333333334,0.020833333333333315,0.15625,0.13541666666666669,0.17001727912940562,0.055158463147107865,0.12380952380952381,2.2446151822490643,14,5,"[[12], [11, 15], [14], [13], [10], [7], [6], [5], [3], [2], [4], [9], [8], [1]]","[[7], [11], [15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",21.079498100007186
00068-00000301.soi,soi,15,15,2,1,8,matrices,aleatoria,0.05,1,0.7561334445873297,4.095238095238095,19.42857142857143,15.333333333333336,0.046536796536796536,0.2207792207792208,0.17424242424242428,0.00541637081767567,0.002007224289869367,0.11904761904761904,59.3095747438204,14,4,"[[7], [12], [8, 15], [13], [3], [11], [14], [9], [6], [5], [2], [1], [10], [4]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",2.9246857999969507
00068-00000301.soi,soi,15,15,2,2,7,matrices,aleatoria,0.05,1,0.7561334445873297,0.4285714285714288,2.4285714285714284,1.9999999999999996,0.017857142857142867,0.10119047619047618,0.08333333333333331,0.0001509310083621651,0.002007224289869367,0.11904761904761904,59.3095747438204,14,4,"[[14], [13], [12], [11, 15], [10], [8], [7], [6], [5], [3], [2], [4], [9], [1]]","[[7], [11, 15], [1, 2, 3, 5, 6, 8, 9, 10, 12, 13, 14], [4]]",2.9246857999969507
