instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_ruido,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,buckets_original,buckets_ruido
00023-00000001.toi,toi,4,204,matriz,aleatoria,b=0.01,0,2.384725760163594,2.4544583132466014,1,1,0.010015600011684,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,aleatoria,b=0.05,0,2.384725760163594,2.4630916998344423,1,2,0.013694900029804558,0.0,3.0,"[[1, 2, 3, 4]]","[[1, 2, 4], [3]]"
00023-00000001.toi,toi,4,204,matriz,aleatoria,b=0.1,0,2.384725760163594,2.3877544652214757,1,2,0.01059339998755604,0.0,3.0,"[[1, 2, 3, 4]]","[[1, 2, 4], [3]]"
00023-00000001.toi,toi,4,204,matriz,cerca_empate,b=0.01,0,2.384725760163594,2.384725760163594,1,1,0.010083000001031905,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,cerca_empate,b=0.05,0,2.384725760163594,2.384725760163594,1,1,0.010274000000208616,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,cerca_empate,b=0.1,0,2.384725760163594,2.384725760163594,1,1,0.010047200019471347,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,todos,b=0.01,0,2.384725760163594,2.4625797106252385,1,2,0.010049099975731224,0.0,3.0,"[[1, 2, 3, 4]]","[[1, 2, 4], [3]]"
00023-00000001.toi,toi,4,204,matriz,todos,b=0.05,0,2.384725760163594,1.8538372171496091,1,2,0.008839500020258129,0.0,3.0,"[[1, 2, 3, 4]]","[[1, 2, 4], [3]]"
00023-00000001.toi,toi,4,204,matriz,todos,b=0.1,0,2.384725760163594,1.4269152329572623,1,2,0.009558999969158322,0.0,3.0,"[[1, 2, 3, 4]]","[[1, 2, 4], [3]]"
00023-00000001.toi,toi,4,204,matriz,aleatoria,b=0.01,1,2.384725760163594,2.4302444080745444,1,1,0.010013500053901225,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,aleatoria,b=0.05,1,2.384725760163594,2.6123189997183465,1,1,0.010029400000348687,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,aleatoria,b=0.1,1,2.384725760163594,2.551761503204144,1,2,0.013865699991583824,0.0,0.6222222222222218,"[[1, 2, 3, 4]]","[[1, 2, 3], [4]]"
00023-00000001.toi,toi,4,204,matriz,cerca_empate,b=0.01,1,2.384725760163594,2.384725760163594,1,1,0.010449499997776002,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,cerca_empate,b=0.05,1,2.384725760163594,2.384725760163594,1,1,0.009820600040256977,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,cerca_empate,b=0.1,1,2.384725760163594,2.384725760163594,1,1,0.009102399984840304,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
00023-00000001.toi,toi,4,204,matriz,todos,b=0.01,1,2.384725760163594,2.2548445870152625,1,1,0.009142700000666082,1.0,0.0,"[[1, 2, 3, 4]]","[[1, 2, 3, 4]]"
