instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_ruido,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,buckets_original,buckets_ruido
00035-00000002.soc,soc,15,42,rankings,empate,b=0.1,0,31.571428571428577,26.404761904761905,2,1,0.3594784999731928,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,empate,b=0.2,0,31.571428571428577,27.35714285714286,2,1,0.15268399997148663,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,empate,b=0.3,0,31.571428571428577,21.80952380952381,2,1,0.11755209998227656,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,intercambio,b=0.1,0,31.571428571428577,23.28571428571429,2,1,0.11499490001006052,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,intercambio,b=0.2,0,31.571428571428577,23.190476190476193,2,1,0.13002879999112338,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,intercambio,b=0.3,0,31.571428571428577,16.619047619047624,2,1,0.08881379995727912,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,local,b=0.1,0,31.571428571428577,21.52380952380953,2,1,0.11889720003819093,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,local,b=0.2,0,31.571428571428577,16.142857142857146,2,1,0.08614669996313751,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,local,b=0.3,0,31.571428571428577,12.904761904761909,2,1,0.08677719999104738,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,movimiento,b=0.1,0,31.571428571428577,28.452380952380942,2,2,0.7241592000355013,1.0,0.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
00035-00000002.soc,soc,15,42,rankings,movimiento,b=0.2,0,31.571428571428577,28.714285714285715,2,1,0.5016265999875031,0.0,-14.0,"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]","[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]"
