instancia,tipo,n,m,metodo,tecnica,parametros,seed,obj_value,obj_value_norm,obj_value_ruido,obj_value_ruido_norm,n_buckets,n_buckets_ruido,tiempo,kendall_tau,perdida,distancia_entrada,distancia_salida,sensibilidad,buckets_original,buckets_ruido
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.0,0,15.380640297667247,0.13982400270606588,15.380640297667247,0.13982400270606588,2,2,0.12638309999601915,1.0,0.0,0.0,0.0,nan,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.05,0,15.380640297667247,0.13982400270606588,15.832848641551971,0.14393498765047247,2,2,0.1381623000052059,1.0,0.0,0.054361754379395694,0.0,0.0,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.1,0,15.380640297667247,0.13982400270606588,18.41334626432743,0.16739405694843118,2,2,0.15543939999770373,1.0,0.0,0.09720862200146463,0.0,0.0,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.2,0,15.380640297667247,0.13982400270606588,23.61124447832516,0.21464767707568325,2,2,1.92428170000494,0.7698003589195012,0.02051611670612581,0.17335624010940012,0.09090909090909091,0.5244062218453792,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4], [1, 2, 5, 6, 7, 8, 9, 10, 11]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.3,0,15.380640297667247,0.13982400270606588,25.253671039019466,0.2295788276274497,2,4,1.7029701999999816,0.49746833816309105,0.1027961072702843,0.22839203448182993,0.22727272727272727,0.9950991845593822,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4], [1], [11], [2, 5, 6, 7, 8, 9, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.5,0,15.380640297667247,0.13982400270606588,26.43417492733735,0.24031068115761225,2,8,0.74136770000041,0.4082482904638631,0.20785705963181833,0.3033767320880409,0.3181818181818182,1.0488009940376073,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[4], [5], [3], [1], [11], [8], [9], [2, 6, 7, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.6,0,15.380640297667247,0.13982400270606588,26.303050525908482,0.23911864114462256,2,9,2.39411329998984,0.33968311024337877,0.24522535171709156,0.3290660430072245,0.36363636363636365,1.1050558736271072,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[4], [5], [3], [1], [11], [8], [2], [9], [6, 7, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.7,0,15.380640297667247,0.13982400270606588,26.033112938074282,0.23666466307340256,2,8,1.021938499994576,0.40016336533252067,0.22397892256260726,0.34402397326997336,0.33636363636363636,0.9777331305329541,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4], [1], [11], [8], [2], [5], [9], [6, 7, 10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=1.0,0,15.380640297667247,0.13982400270606588,25.2330575628312,0.22939143238937454,2,10,0.6036635000054957,0.33333333333333337,0.2537642820845972,0.3766559527029479,0.38181818181818183,1.0137054228884181,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4], [1], [11], [8], [6], [2], [5], [9], [7], [10]]"
00071-00000033.toi,toi,11,1302,matriz,todos,b=0.0,1,15.380640297667247,0.13982400270606588,15.380640297667247,0.13982400270606588,2,2,0.1261603000020841,1.0,0.0,0.0,0.0,nan,"[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]","[[3, 4, 9], [1, 2, 5, 6, 7, 8, 10, 11]]"
